onset_date,type_b,total
2020/1/5,2,1
2020/1/5,3,2
2020/1/6,2,1
2020/1/7,2,1
2020/1/8,2,1
2020/1/8,3,1
2020/1/10,2,1
2020/1/10,3,7
2020/1/11,3,2
2020/1/12,2,1
2020/1/12,3,3
2020/1/13,2,1
2020/1/13,3,4
2020/1/14,2,2
2020/1/14,3,5
2020/1/15,2,4
2020/1/15,3,6
2020/1/16,2,5
2020/1/16,3,5
2020/1/17,2,8
2020/1/17,3,13
2020/1/18,2,11
2020/1/18,3,8
2020/1/19,2,14
2020/1/19,3,16
2020/1/20,2,21
2020/1/20,3,17
2020/1/21,2,24
2020/1/21,3,21
2020/1/22,2,22
2020/1/22,3,22
2020/1/23,2,35
2020/1/23,3,27
2020/1/24,2,46
2020/1/24,3,30
2020/1/25,1,1
2020/1/25,2,46
2020/1/25,3,10
2020/1/26,2,29
2020/1/26,3,23
2020/1/27,2,40
2020/1/27,3,17
2020/1/28,1,1
2020/1/28,2,36
2020/1/28,3,11
2020/1/29,1,2
2020/1/29,2,37
2020/1/29,3,16
2020/1/30,1,2
2020/1/30,2,29
2020/1/30,3,14
2020/1/31,1,3
2020/1/31,2,38
2020/1/31,3,12
2020/2/1,1,10
2020/2/1,2,36
2020/2/1,3,7
2020/2/2,1,4
2020/2/2,2,31
2020/2/2,3,4
2020/2/3,1,8
2020/2/3,2,32
2020/2/3,3,1
2020/2/4,1,8
2020/2/4,2,19
2020/2/4,3,3
2020/2/5,1,7
2020/2/5,2,16
2020/2/6,1,10
2020/2/6,2,20
2020/2/6,3,4
2020/2/7,1,4
2020/2/7,2,19
2020/2/7,3,2
2020/2/8,1,6
2020/2/8,2,18
2020/2/8,3,1
2020/2/9,1,11
2020/2/9,2,13
2020/2/9,3,3
2020/2/10,1,14
2020/2/10,2,12
2020/2/10,3,3
2020/2/11,1,20
2020/2/11,2,6
2020/2/12,1,13
2020/2/12,2,5
2020/2/13,1,6
2020/2/13,2,4
2020/2/14,1,6
2020/2/14,2,1
2020/2/15,1,5
2020/2/15,2,1
2020/2/16,1,1
2020/2/17,1,3
2020/2/17,2,1
2020/2/20,1,1
2020/2/20,2,1
2020/2/21,2,3
2020/2/23,1,1
2020/2/24,1,1
2020/2/27,1,2
2020/2/28,1,1
2020/3/1,1,1
2020/3/5,1,2
2020/3/6,1,1
2020/3/8,1,1
2020/3/21,1,1
2020/3/23,1,1
2020/3/25,1,1
2020/3/25,3,1
